Category,La Paz
Total_doses_administered,17925
Total_people_one_dose,9890
Total_people_complete,8800
Total_doses_ordered,19050
total_pouluation,22085
Male-65 years and older,3154
Male-55-64 years,697
Male-45-54 years,337
Male-20-44 years,583
Male-Less than 20 years,159
Female-65 years and older,3055
Female-55-64 years,863
Female-45-54 years,360
Female-20-44 years,492
Female-Less than 20 years,168
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",76
"American Indian or Alaska Native, non-Hispanic",215
Hispanic or Latino,1077
Other Race,1137
Unknown,2664
"White, non-Hispanic",4689
