Category,Apache
Total_doses_administered,33467
Total_people_one_dose,18783
Total_people_complete,12385
Total_doses_ordered,16700
total_pouluation,71808
Male-65 years and older,1964
Male-55-64 years,1305
Male-45-54 years,1033
Male-20-44 years,2514
Male-Less than 20 years,2516
Female-65 years and older,2067
Female-55-64 years,1442
Female-45-54 years,1027
Female-20-44 years,2304
Female-Less than 20 years,2601
"Asian or Pacific Islander, non-Hispanic",169
"Black or African American, non-Hispanic",288
Unknown,1007
Other Race,1282
Hispanic or Latino,1868
"White, non-Hispanic",3267
"American Indian or Alaska Native, non-Hispanic",10902
