Category,Gila
Total_doses_administered,53987
Total_people_one_dose,29648
Total_people_complete,26175
Total_doses_ordered,37770
total_pouluation,55159
Male-65 years and older,5932
Male-55-64 years,2667
Male-45-54 years,1646
Male-20-44 years,3274
Male-Less than 20 years,775
Female-65 years and older,6292
Female-55-64 years,2958
Female-45-54 years,1735
Female-20-44 years,3392
Female-Less than 20 years,915
"Black or African American, non-Hispanic",99
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1362
Other Race,4918
Unknown,5463
"American Indian or Alaska Native, non-Hispanic",6008
"White, non-Hispanic",11537
