Category,Maricopa
Total_doses_administered,3127548
Total_people_one_dose,1785096
Total_people_complete,1538986
Total_doses_ordered,1638900
total_pouluation,4367835
Male-65 years and older,183860
Male-55-64 years,129498
Male-45-54 years,129431
Male-20-44 years,302353
Male-Less than 20 years,84032
Female-65 years and older,237917
Female-55-64 years,149027
Female-45-54 years,143195
Female-20-44 years,327670
Female-Less than 20 years,86289
"American Indian or Alaska Native, non-Hispanic",37778
"Black or African American, non-Hispanic",69190
"Asian or Pacific Islander, non-Hispanic",82645
Unknown,174868
Other Race,274296
Hispanic or Latino,328603
"White, non-Hispanic",817716
