Category,Yavapai
Total_doses_administered,192959
Total_people_one_dose,110616
Total_people_complete,92598
Total_doses_ordered,169890
total_pouluation,232386
Male-65 years and older,24171
Male-55-64 years,8634
Male-45-54 years,5056
Male-20-44 years,9879
Male-Less than 20 years,2112
Female-65 years and older,30164
Female-55-64 years,11025
Female-45-54 years,5891
Female-20-44 years,10033
Female-Less than 20 years,2339
"Black or African American, non-Hispanic",602
"American Indian or Alaska Native, non-Hispanic",1117
"Asian or Pacific Islander, non-Hispanic",1449
Hispanic or Latino,7024
Other Race,16982
Unknown,27510
"White, non-Hispanic",55932
