Category,Arizona
Total_doses_administered,7341834
Total_people_complete,3541827
Total_doses_ordered,5327230
total_pouluation,7189020
Total_people_one_dose,4027166
Male-65 years and older,523158
Male-55-64 years,302187
Male-45-54 years,264763
Male-20-44 years,629994
Male-Less than 20 years,166665
Female-65 years and older,644840
Female-55-64 years,347435
Female-45-54 years,289605
Female-20-44 years,664228
Female-Less than 20 years,174769
"Black or African American, non-Hispanic",110497
"American Indian or Alaska Native, non-Hispanic",119332
"Asian or Pacific Islander, non-Hispanic",150730
Unknown,432326
Other Race,678387
Hispanic or Latino,684988
"White, non-Hispanic",1850906
