Category,Coconino
Total_doses_administered,152801
Total_people_one_dose,83935
Total_people_complete,75368
Total_doses_ordered,97448
total_pouluation,147275
Male-65 years and older,7846
Male-55-64 years,6092
Male-45-54 years,5507
Male-20-44 years,16683
Male-Less than 20 years,3238
Female-65 years and older,8925
Female-55-64 years,6829
Female-45-54 years,5631
Female-20-44 years,19151
Female-Less than 20 years,3950
"Black or African American, non-Hispanic",620
"Asian or Pacific Islander, non-Hispanic",1271
Hispanic or Latino,5983
Other Race,9729
Unknown,16994
"American Indian or Alaska Native, non-Hispanic",17536
"White, non-Hispanic",31802
