Category,Arizona
Total_doses_administered,6201598
Total_people_complete,3006771
Total_doses_ordered,5186580
total_pouluation,7189020
Total_people_one_dose,3461366
Male-65 years and older,492915
Male-55-64 years,274037
Male-45-54 years,226654
Male-20-44 years,510598
Male-Less than 20 years,102498
Female-65 years and older,609038
Female-55-64 years,320488
Female-45-54 years,252998
Female-20-44 years,549534
Female-Less than 20 years,111939
"Black or African American, non-Hispanic",0.0254760692743847
"American Indian or Alaska Native, non-Hispanic",0.0263976707461736
"Asian or Pacific Islander, non-Hispanic",0.0389912537420198
Unknown,0.1075630256956358
Hispanic or Latino,0.1468561833680691
Other Race,0.1757924472592613
"White, non-Hispanic",0.4789233499144558
