Category,Arizona
Total_doses_administered,8276606
Total_people_complete,373430
total_pouluation,7189020
Total_people_one_dose,4259681
Male-65 years and older,533885
Male-55-64 years,311915
Male-45-54 years,281235
Male-20-44 years,690432
Male-Less than 20 years,189152
Female-65 years and older,654421
Female-55-64 years,356001
Female-45-54 years,304177
Female-20-44 years,721391
Female-Less than 20 years,197531
"Black or African American, non-Hispanic",120789
"Asian or Pacific Islander, non-Hispanic",154124
"American Indian or Alaska Native, non-Hispanic",160933
Unknown,475111
Other Race,681693
Hispanic or Latino,754711
"White, non-Hispanic",1912320
