Category,Greenlee
Total_doses_administered,7876
Total_people_one_dose,4083
Total_people_complete,3624
total_pouluation,4083
Male-65 years and older,496
Male-55-64 years,371
Male-45-54 years,312
Male-20-44 years,761
Male-Less than 20 years,145
Female-65 years and older,496
Female-55-64 years,317
Female-45-54 years,315
Female-20-44 years,720
Female-Less than 20 years,148
"Asian or Pacific Islander, non-Hispanic",41
"Black or African American, non-Hispanic",42
"American Indian or Alaska Native, non-Hispanic",102
Other Race,109
Unknown,310
"White, non-Hispanic",1657
Hispanic or Latino,1822
