Category,Coconino
Total_doses_administered,171322
Total_people_one_dose,87092
Total_people_complete,79386
total_pouluation,87092
Male-65 years and older,9005
Male-55-64 years,6082
Male-45-54 years,5540
Male-20-44 years,16252
Male-Less than 20 years,4178
Female-65 years and older,10195
Female-55-64 years,6888
Female-45-54 years,5678
Female-20-44 years,18516
Female-Less than 20 years,4501
"Black or African American, non-Hispanic",666
"Asian or Pacific Islander, non-Hispanic",1397
Hispanic or Latino,6299
Other Race,10420
Unknown,15338
"American Indian or Alaska Native, non-Hispanic",18970
"White, non-Hispanic",34002
