Category,Maricopa
Total_doses_administered,4886794
Total_people_one_dose,2473902
Total_people_complete,2230972
total_pouluation,2473902
Male-65 years and older,275122
Male-55-64 years,181673
Male-45-54 years,175273
Male-20-44 years,415021
Male-Less than 20 years,111522
Female-65 years and older,344659
Female-55-64 years,204939
Female-45-54 years,190835
Female-20-44 years,444801
Female-Less than 20 years,115649
"American Indian or Alaska Native, non-Hispanic",45504
"Black or African American, non-Hispanic",89485
"Asian or Pacific Islander, non-Hispanic",117663
Unknown,195269
Hispanic or Latino,399781
Other Race,446646
"White, non-Hispanic",1179554
