Category,Yavapai
Total_doses_administered,206430
Total_people_one_dose,109856
Total_people_complete,94463
total_pouluation,109856
Male-65 years and older,24252
Male-55-64 years,8733
Male-45-54 years,4780
Male-20-44 years,9543
Male-Less than 20 years,2231
Female-65 years and older,30115
Female-55-64 years,11147
Female-45-54 years,5680
Female-20-44 years,9691
Female-Less than 20 years,2536
"Black or African American, non-Hispanic",485
"American Indian or Alaska Native, non-Hispanic",1228
"Asian or Pacific Islander, non-Hispanic",1244
Hispanic or Latino,7282
Other Race,17102
Unknown,24866
"White, non-Hispanic",57649
