Category,Yuma
Total_doses_administered,259144
Total_people_one_dose,137753
Total_people_complete,121300
total_pouluation,137753
Male-65 years and older,14868
Male-55-64 years,9701
Male-45-54 years,8674
Male-20-44 years,25890
Male-Less than 20 years,7993
Female-65 years and older,17374
Female-55-64 years,10342
Female-45-54 years,9535
Female-20-44 years,24393
Female-Less than 20 years,8529
"Black or African American, non-Hispanic",688
"Asian or Pacific Islander, non-Hispanic",1047
"American Indian or Alaska Native, non-Hispanic",1051
Other Race,15232
"White, non-Hispanic",28155
Unknown,30547
Hispanic or Latino,61033
