Category,La Paz
Total_doses_administered,18254
Total_people_one_dose,10063
Total_people_complete,8954
Total_doses_ordered,19400
total_pouluation,22085
Male-65 years and older,3186
Male-55-64 years,703
Male-45-54 years,348
Male-20-44 years,605
Male-Less than 20 years,176
Female-65 years and older,3088
Female-55-64 years,862
Female-45-54 years,368
Female-20-44 years,517
Female-Less than 20 years,188
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",78
"American Indian or Alaska Native, non-Hispanic",243
Hispanic or Latino,1119
Other Race,1158
Unknown,2680
"White, non-Hispanic",4750
