Category,Graham
Total_doses_administered,23542
Total_people_one_dose,13151
Total_people_complete,11651
Total_doses_ordered,21580
total_pouluation,38476
Male-65 years and older,1712
Male-55-64 years,1046
Male-45-54 years,939
Male-20-44 years,2264
Male-Less than 20 years,496
Female-65 years and older,2160
Female-55-64 years,1194
Female-45-54 years,864
Female-20-44 years,1887
Female-Less than 20 years,578
"Asian or Pacific Islander, non-Hispanic",68
"Black or African American, non-Hispanic",79
Other Race,1002
"American Indian or Alaska Native, non-Hispanic",1121
Hispanic or Latino,2179
Unknown,4138
"White, non-Hispanic",4564
