Category,Arizona
Total_doses_administered,7589847
Total_people_complete,3654342
Total_doses_ordered,5387440
total_pouluation,7189020
Total_people_one_dose,4131710
Male-65 years and older,530771
Male-55-64 years,307121
Male-45-54 years,271763
Male-20-44 years,653273
Male-Less than 20 years,175215
Female-65 years and older,653827
Female-55-64 years,352800
Female-45-54 years,296433
Female-20-44 years,687610
Female-Less than 20 years,183255
"Black or African American, non-Hispanic",114926
"American Indian or Alaska Native, non-Hispanic",123941
"Asian or Pacific Islander, non-Hispanic",153223
Unknown,443835
Other Race,691379
Hispanic or Latino,713012
"White, non-Hispanic",1891394
