Category,Apache
Total_doses_administered,34753
Total_people_one_dose,19398
Total_people_complete,13004
Total_doses_ordered,18500
total_pouluation,71808
Male-65 years and older,2001
Male-55-64 years,1352
Male-45-54 years,1074
Male-20-44 years,2635
Male-Less than 20 years,2583
Female-65 years and older,2119
Female-55-64 years,1477
Female-45-54 years,1077
Female-20-44 years,2427
Female-Less than 20 years,2643
"Asian or Pacific Islander, non-Hispanic",174
"Black or African American, non-Hispanic",297
Unknown,1059
Other Race,1323
Hispanic or Latino,1962
"White, non-Hispanic",3393
"American Indian or Alaska Native, non-Hispanic",11190
