Category,Mohave
Total_doses_administered,164721
Total_people_one_dose,93810
Total_people_complete,78541
Total_doses_ordered,135940
total_pouluation,216985
Male-65 years and older,22179
Male-55-64 years,8777
Male-45-54 years,4605
Male-20-44 years,7832
Male-Less than 20 years,1510
Female-65 years and older,24715
Female-55-64 years,10202
Female-45-54 years,4915
Female-20-44 years,7287
Female-Less than 20 years,1624
"Black or African American, non-Hispanic",670
"American Indian or Alaska Native, non-Hispanic",979
"Asian or Pacific Islander, non-Hispanic",1358
Hispanic or Latino,6854
Unknown,16014
Other Race,16317
"White, non-Hispanic",51618
