Category,Coconino
Total_doses_administered,156217
Total_people_one_dose,85645
Total_people_complete,76921
Total_doses_ordered,109424
total_pouluation,147275
Male-65 years and older,7998
Male-55-64 years,6159
Male-45-54 years,5601
Male-20-44 years,17104
Male-Less than 20 years,3408
Female-65 years and older,9076
Female-55-64 years,6875
Female-45-54 years,5710
Female-20-44 years,19534
Female-Less than 20 years,4090
"Black or African American, non-Hispanic",641
"Asian or Pacific Islander, non-Hispanic",1304
Hispanic or Latino,6284
Other Race,9844
Unknown,17120
"American Indian or Alaska Native, non-Hispanic",17960
"White, non-Hispanic",32492
