Category,Navajo
Total_doses_administered,60499
Total_people_one_dose,33797
Total_people_complete,29326
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6061
Male-55-64 years,2764
Male-45-54 years,1881
Male-20-44 years,3830
Male-Less than 20 years,2203
Female-65 years and older,6531
Female-55-64 years,3059
Female-45-54 years,1926
Female-20-44 years,3163
Female-Less than 20 years,2347
"Black or African American, non-Hispanic",0.005621800751546
"Asian or Pacific Islander, non-Hispanic",0.0102375950528153
Unknown,0.0528153386395242
Hispanic or Latino,0.0562475959404681
Other Race,0.2202266473355623
"American Indian or Alaska Native, non-Hispanic",0.2681894842737521
"White, non-Hispanic",0.3866615380063319
