Category,Greenlee
Total_doses_administered,8249
Total_people_one_dose,4660
Total_people_complete,4163
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,537
Male-55-64 years,582
Male-45-54 years,481
Male-20-44 years,975
Male-Less than 20 years,44
Female-65 years and older,516
Female-55-64 years,402
Female-45-54 years,360
Female-20-44 years,718
Female-Less than 20 years,43
"Black or African American, non-Hispanic",0.0092274678111588
"Asian or Pacific Islander, non-Hispanic",0.0103004291845494
"American Indian or Alaska Native, non-Hispanic",0.0178111587982833
Other Race,0.0270386266094421
Unknown,0.0781115879828326
"White, non-Hispanic",0.4148068669527897
Hispanic or Latino,0.4427038626609442
