Category,Maricopa
Total_doses_administered,5785860
Total_people_one_dose,2699593
Total_people_complete,2327288
total_pouluation,2699593
Male-65 years and older,289835
Male-55-64 years,191415
Male-45-54 years,185859
Male-20-44 years,446657
Male-Less than 20 years,156166
Female-65 years and older,362030
Female-55-64 years,215101
Female-45-54 years,201221
Female-20-44 years,477922
Female-Less than 20 years,158981
"American Indian or Alaska Native, non-Hispanic",53005
"Black or African American, non-Hispanic",105373
"Asian or Pacific Islander, non-Hispanic",137214
Unknown,182133
Other Race,433154
Hispanic or Latino,459191
"White, non-Hispanic",1329523
