Category,Pinal
Total_doses_administered,535408
Total_people_one_dose,257780
Total_people_complete,222607
total_pouluation,257780
Male-65 years and older,37717
Male-55-64 years,18705
Male-45-54 years,17124
Male-20-44 years,39139
Male-Less than 20 years,13378
Female-65 years and older,43294
Female-55-64 years,21087
Female-45-54 years,17406
Female-20-44 years,35998
Female-Less than 20 years,13189
"Asian or Pacific Islander, non-Hispanic",5271
"Black or African American, non-Hispanic",9473
"American Indian or Alaska Native, non-Hispanic",10178
Unknown,30264
Other Race,31632
Hispanic or Latino,41963
"White, non-Hispanic",128999
