Category,Mohave
Total_doses_administered,191449
Total_people_one_dose,92129
Total_people_complete,77352
total_pouluation,92129
Male-65 years and older,21376
Male-55-64 years,8413
Male-45-54 years,4375
Male-20-44 years,7738
Male-Less than 20 years,1921
Female-65 years and older,23447
Female-55-64 years,9738
Female-45-54 years,4925
Female-20-44 years,7902
Female-Less than 20 years,2114
"Black or African American, non-Hispanic",636
"American Indian or Alaska Native, non-Hispanic",766
"Asian or Pacific Islander, non-Hispanic",1414
Hispanic or Latino,7460
Unknown,11658
Other Race,14602
"White, non-Hispanic",55593
