Category,Apache
Total_doses_administered,63575
Total_people_one_dose,30280
Total_people_complete,23039
total_pouluation,30280
Male-65 years and older,2844
Male-55-64 years,2076
Male-45-54 years,1667
Male-20-44 years,4000
Male-Less than 20 years,4218
Female-65 years and older,3411
Female-55-64 years,2223
Female-45-54 years,1640
Female-20-44 years,3894
Female-Less than 20 years,4298
"Black or African American, non-Hispanic",60
"Asian or Pacific Islander, non-Hispanic",137
Hispanic or Latino,590
Other Race,1168
Unknown,1179
"White, non-Hispanic",3683
"American Indian or Alaska Native, non-Hispanic",23463
