Category,Santa Cruz
Total_doses_administered,114854
Total_people_one_dose,58308
Total_people_complete,45023
total_pouluation,58308
Male-65 years and older,4838
Male-55-64 years,3361
Male-45-54 years,3529
Male-20-44 years,9303
Male-Less than 20 years,6864
Female-65 years and older,5850
Female-55-64 years,3707
Female-45-54 years,3830
Female-20-44 years,9764
Female-Less than 20 years,7176
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",189
Other Race,3587
Unknown,4153
"White, non-Hispanic",7772
Hispanic or Latino,42489
