Category,Cochise
Total_doses_administered,170959
Total_people_one_dose,83416
Total_people_complete,68009
total_pouluation,83416
Male-65 years and older,11465
Male-55-64 years,5671
Male-45-54 years,4450
Male-20-44 years,11913
Male-Less than 20 years,5835
Female-65 years and older,13431
Female-55-64 years,6700
Female-45-54 years,4996
Female-20-44 years,12642
Female-Less than 20 years,6212
"American Indian or Alaska Native, non-Hispanic",371
"Asian or Pacific Islander, non-Hispanic",1515
"Black or African American, non-Hispanic",1623
Unknown,9936
Other Race,12137
Hispanic or Latino,24120
"White, non-Hispanic",33714
