Category,Graham
Total_doses_administered,45852
Total_people_one_dose,21614
Total_people_complete,18829
total_pouluation,21614
Male-65 years and older,2428
Male-55-64 years,1600
Male-45-54 years,1460
Male-20-44 years,3639
Male-Less than 20 years,1285
Female-65 years and older,2936
Female-55-64 years,1742
Female-45-54 years,1430
Female-20-44 years,3686
Female-Less than 20 years,1396
"Asian or Pacific Islander, non-Hispanic",88
"Black or African American, non-Hispanic",97
Other Race,1307
Hispanic or Latino,3900
Unknown,4157
"American Indian or Alaska Native, non-Hispanic",5474
"White, non-Hispanic",6591
