Category,Yavapai
Total_doses_administered,254750
Total_people_one_dose,119547
Total_people_complete,100254
total_pouluation,119547
Male-65 years and older,26367
Male-55-64 years,9340
Male-45-54 years,5151
Male-20-44 years,10477
Male-Less than 20 years,3051
Female-65 years and older,32079
Female-55-64 years,11750
Female-45-54 years,6122
Female-20-44 years,10730
Female-Less than 20 years,3334
"Black or African American, non-Hispanic",586
"American Indian or Alaska Native, non-Hispanic",1457
"Asian or Pacific Islander, non-Hispanic",1480
Hispanic or Latino,8397
Other Race,17552
Unknown,18628
"White, non-Hispanic",71447
