Category,Coconino
Total_doses_administered,211945
Total_people_one_dose,96516
Total_people_complete,82534
total_pouluation,96516
Male-65 years and older,9542
Male-55-64 years,6427
Male-45-54 years,5901
Male-20-44 years,17501
Male-Less than 20 years,6447
Female-65 years and older,10728
Female-55-64 years,7221
Female-45-54 years,5939
Female-20-44 years,19879
Female-Less than 20 years,6660
"Black or African American, non-Hispanic",801
"Asian or Pacific Islander, non-Hispanic",1708
Hispanic or Latino,7436
Other Race,8819
Unknown,12506
"American Indian or Alaska Native, non-Hispanic",23124
"White, non-Hispanic",42122
