Category,Greenlee
Total_doses_administered,8278
Total_people_one_dose,4686
Total_people_complete,4176
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,540
Male-55-64 years,584
Male-45-54 years,482
Male-20-44 years,986
Male-Less than 20 years,44
Female-65 years and older,516
Female-55-64 years,404
Female-45-54 years,363
Female-20-44 years,722
Female-Less than 20 years,43
"Black or African American, non-Hispanic",44
"Asian or Pacific Islander, non-Hispanic",48
"American Indian or Alaska Native, non-Hispanic",83
Other Race,126
Unknown,372
"White, non-Hispanic",1941
Hispanic or Latino,2072
