Category,Cochise
Total_doses_administered,113483
Total_people_one_dose,63514
Total_people_complete,56602
Total_doses_ordered,87630
total_pouluation,130808
Male-65 years and older,10401
Male-55-64 years,5006
Male-45-54 years,3538
Male-20-44 years,8888
Male-Less than 20 years,2044
Female-65 years and older,12338
Female-55-64 years,6012
Female-45-54 years,4120
Female-20-44 years,8924
Female-Less than 20 years,2154
"American Indian or Alaska Native, non-Hispanic",306
"Black or African American, non-Hispanic",1170
"Asian or Pacific Islander, non-Hispanic",1241
Unknown,8307
Other Race,9871
Hispanic or Latino,14803
"White, non-Hispanic",27816
