Category,Mohave
Total_doses_administered,146300
Total_people_one_dose,83401
Total_people_complete,70241
Total_doses_ordered,124750
total_pouluation,216985
Male-65 years and older,20764
Male-55-64 years,7899
Male-45-54 years,3908
Male-20-44 years,6358
Male-Less than 20 years,895
Female-65 years and older,23160
Female-55-64 years,9258
Female-45-54 years,4117
Female-20-44 years,5868
Female-Less than 20 years,1028
"Black or African American, non-Hispanic",553
"American Indian or Alaska Native, non-Hispanic",822
"Asian or Pacific Islander, non-Hispanic",1203
Hispanic or Latino,5452
Unknown,14334
Other Race,15239
"White, non-Hispanic",45798
