Category,Coconino
Total_doses_administered,144086
Total_people_one_dose,78416
Total_people_complete,71606
Total_doses_ordered,95930
total_pouluation,147275
Male-65 years and older,7475
Male-55-64 years,5820
Male-45-54 years,5146
Male-20-44 years,15464
Male-Less than 20 years,2565
Female-65 years and older,8566
Female-55-64 years,6568
Female-45-54 years,5377
Female-20-44 years,18012
Female-Less than 20 years,3348
"Black or African American, non-Hispanic",549
"Asian or Pacific Islander, non-Hispanic",1159
Hispanic or Latino,5215
Other Race,9150
"American Indian or Alaska Native, non-Hispanic",16084
Unknown,16512
"White, non-Hispanic",29747
