Category,Apache
Total_doses_administered,22763
Total_people_one_dose,12737
Total_people_complete,11065
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1691
Male-55-64 years,887
Male-45-54 years,574
Male-20-44 years,1056
Male-Less than 20 years,2033
Female-65 years and older,1732
Female-55-64 years,1006
Female-45-54 years,621
Female-20-44 years,986
Female-Less than 20 years,2142
"Asian or Pacific Islander, non-Hispanic",147
"Black or African American, non-Hispanic",224
Unknown,931
Other Race,942
Hispanic or Latino,1474
"White, non-Hispanic",2927
"American Indian or Alaska Native, non-Hispanic",6092
