Category,Gila
Total_doses_administered,49663
Total_people_one_dose,27440
Total_people_complete,24777
Total_doses_ordered,36470
total_pouluation,55159
Male-65 years and older,5734
Male-55-64 years,2525
Male-45-54 years,1516
Male-20-44 years,2904
Male-Less than 20 years,512
Female-65 years and older,6084
Female-55-64 years,2844
Female-45-54 years,1630
Female-20-44 years,3014
Female-Less than 20 years,617
"Black or African American, non-Hispanic",91
"Asian or Pacific Islander, non-Hispanic",250
Hispanic or Latino,1193
Other Race,4662
"American Indian or Alaska Native, non-Hispanic",5180
Unknown,5204
"White, non-Hispanic",10860
