Category,Maricopa
Total_doses_administered,2782475
Total_people_one_dose,1571319
Total_people_complete,1389751
Total_doses_ordered,1535817
total_pouluation,4367835
Male-65 years and older,173852
Male-55-64 years,118868
Male-45-54 years,113846
Male-20-44 years,255640
Male-Less than 20 years,59979
Female-65 years and older,226090
Female-55-64 years,138577
Female-45-54 years,128050
Female-20-44 years,280924
Female-Less than 20 years,63764
"American Indian or Alaska Native, non-Hispanic",33932
"Black or African American, non-Hispanic",58591
"Asian or Pacific Islander, non-Hispanic",76350
Unknown,153882
Other Race,244937
Hispanic or Latino,265916
"White, non-Hispanic",737711
