Category,Apache
Total_doses_administered,17750
Total_people_one_dose,10479
Total_people_complete,8121
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1621
Male-55-64 years,831
Male-45-54 years,478
Male-20-44 years,864
Male-Less than 20 years,1305
Female-65 years and older,1662
Female-55-64 years,935
Female-45-54 years,555
Female-20-44 years,842
Female-Less than 20 years,1381
"Asian or Pacific Islander, non-Hispanic",0.0112606164710373
"Black or African American, non-Hispanic",0.0149823456436683
Other Race,0.0457104685561599
Hispanic or Latino,0.0953335241912396
Unknown,0.1766389922702548
"White, non-Hispanic",0.2239717530298693
"American Indian or Alaska Native, non-Hispanic",0.4321022998377708
