Category,Arizona
Total_doses_administered,8678812
Total_people_complete,402876
total_pouluation,7189020
Total_people_one_dose,4386793
Male-65 years and older,544830
Male-55-64 years,316616
Male-45-54 years,286009
Male-20-44 years,705527
Male-Less than 20 years,216399
Female-65 years and older,665956
Female-55-64 years,361085
Female-45-54 years,309123
Female-20-44 years,737005
Female-Less than 20 years,224574
"Black or African American, non-Hispanic",131876
"Asian or Pacific Islander, non-Hispanic",165850
"American Indian or Alaska Native, non-Hispanic",177009
Unknown,401172
Other Race,641497
Hispanic or Latino,790894
"White, non-Hispanic",2078495
