Category,Coconino
Total_doses_administered,182205
Total_people_one_dose,90188
Total_people_complete,80150
total_pouluation,90188
Male-65 years and older,9135
Male-55-64 years,6156
Male-45-54 years,5625
Male-20-44 years,16538
Male-Less than 20 years,5113
Female-65 years and older,10332
Female-55-64 years,6977
Female-45-54 years,5726
Female-20-44 years,18852
Female-Less than 20 years,5472
"Black or African American, non-Hispanic",738
"Asian or Pacific Islander, non-Hispanic",1473
Hispanic or Latino,6632
Other Race,8297
Unknown,13037
"American Indian or Alaska Native, non-Hispanic",21233
"White, non-Hispanic",38778
