Category,Apache
Total_doses_administered,42513
Total_people_one_dose,23439
Total_people_complete,17004
total_pouluation,23439
Male-65 years and older,2377
Male-55-64 years,1635
Male-45-54 years,1258
Male-20-44 years,2951
Male-Less than 20 years,3229
Female-65 years and older,2827
Female-55-64 years,1772
Female-45-54 years,1287
Female-20-44 years,2770
Female-Less than 20 years,3325
"Black or African American, non-Hispanic",46
"Asian or Pacific Islander, non-Hispanic",103
Hispanic or Latino,512
Other Race,1026
Unknown,1065
"White, non-Hispanic",3480
"American Indian or Alaska Native, non-Hispanic",17207
