Category,Navajo
Total_doses_administered,88608
Total_people_one_dose,45786
Total_people_complete,38775
total_pouluation,45786
Male-65 years and older,7055
Male-55-64 years,3427
Male-45-54 years,2536
Male-20-44 years,5452
Male-Less than 20 years,3728
Female-65 years and older,7942
Female-55-64 years,3942
Female-45-54 years,2546
Female-20-44 years,5290
Female-Less than 20 years,3833
"Black or African American, non-Hispanic",193
"Asian or Pacific Islander, non-Hispanic",332
Unknown,2036
Hispanic or Latino,2328
Other Race,6092
"White, non-Hispanic",15492
"American Indian or Alaska Native, non-Hispanic",19313
