Category,Mohave
Total_doses_administered,166412
Total_people_one_dose,86052
Total_people_complete,74126
total_pouluation,86052
Male-65 years and older,19934
Male-55-64 years,7914
Male-45-54 years,4106
Male-20-44 years,7121
Male-Less than 20 years,1557
Female-65 years and older,22324
Female-55-64 years,9274
Female-45-54 years,4651
Female-20-44 years,7220
Female-Less than 20 years,1777
"Black or African American, non-Hispanic",573
"American Indian or Alaska Native, non-Hispanic",677
"Asian or Pacific Islander, non-Hispanic",1271
Hispanic or Latino,6665
Unknown,11265
Other Race,13921
"White, non-Hispanic",51680
