Category,Maricopa
Total_doses_administered,5078580
Total_people_one_dose,2530701
Total_people_complete,2256714
total_pouluation,2530701
Male-65 years and older,278466
Male-55-64 years,183524
Male-45-54 years,177696
Male-20-44 years,422454
Male-Less than 20 years,124408
Female-65 years and older,348551
Female-55-64 years,206944
Female-45-54 years,193270
Female-20-44 years,452825
Female-Less than 20 years,128134
"American Indian or Alaska Native, non-Hispanic",48556
"Black or African American, non-Hispanic",96762
"Asian or Pacific Islander, non-Hispanic",126109
Unknown,166641
Hispanic or Latino,414578
Other Race,416045
"White, non-Hispanic",1262010
