Category,Cochise
Total_doses_administered,143315
Total_people_one_dose,74714
Total_people_complete,64758
total_pouluation,74714
Male-65 years and older,10748
Male-55-64 years,5226
Male-45-54 years,4067
Male-20-44 years,11008
Male-Less than 20 years,4110
Female-65 years and older,12717
Female-55-64 years,6272
Female-45-54 years,4575
Female-20-44 years,11537
Female-Less than 20 years,4355
"American Indian or Alaska Native, non-Hispanic",334
"Asian or Pacific Islander, non-Hispanic",1393
"Black or African American, non-Hispanic",1476
Unknown,8694
Other Race,11377
Hispanic or Latino,19630
"White, non-Hispanic",31810
