Category,Graham
Total_doses_administered,39760
Total_people_one_dose,20075
Total_people_complete,18065
total_pouluation,20075
Male-65 years and older,2351
Male-55-64 years,1549
Male-45-54 years,1403
Male-20-44 years,3458
Male-Less than 20 years,930
Female-65 years and older,2841
Female-55-64 years,1692
Female-45-54 years,1368
Female-20-44 years,3450
Female-Less than 20 years,1021
"Asian or Pacific Islander, non-Hispanic",80
"Black or African American, non-Hispanic",84
Other Race,1257
Hispanic or Latino,3538
Unknown,3934
"American Indian or Alaska Native, non-Hispanic",4953
"White, non-Hispanic",6229
