Category,Yavapai
Total_doses_administered,220513
Total_people_one_dose,112535
Total_people_complete,95876
total_pouluation,112535
Male-65 years and older,24879
Male-55-64 years,8861
Male-45-54 years,4852
Male-20-44 years,9772
Male-Less than 20 years,2518
Female-65 years and older,30681
Female-55-64 years,11278
Female-45-54 years,5787
Female-20-44 years,9941
Female-Less than 20 years,2818
"Black or African American, non-Hispanic",518
"Asian or Pacific Islander, non-Hispanic",1329
"American Indian or Alaska Native, non-Hispanic",1356
Hispanic or Latino,7567
Other Race,16537
Unknown,19572
"White, non-Hispanic",65656
