Category,Pinal
Total_doses_administered,283789
Total_people_one_dose,159928
Total_people_complete,142124
Total_doses_ordered,196465
total_pouluation,455210
Male-65 years and older,28948
Male-55-64 years,12740
Male-45-54 years,11238
Male-20-44 years,23827
Male-Less than 20 years,3542
Female-65 years and older,33247
Female-55-64 years,13814
Female-45-54 years,10168
Female-20-44 years,18027
Female-Less than 20 years,3790
"Asian or Pacific Islander, non-Hispanic",0.0182707218248212
"Black or African American, non-Hispanic",0.0260804862187985
"American Indian or Alaska Native, non-Hispanic",0.0474400980441199
Other Race,0.1086363863738682
Hispanic or Latino,0.1495673052873793
Unknown,0.2025348907008154
"White, non-Hispanic",0.4474701115501976
