,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5549598,1555505,17015,94200,127332,45630,17438,7972,15711,2095104,122061,45951,745189,234988,50868,164628,159616
Total_people_one_dose,3146755,850531,9856,53846,69789,25432,9665,4513,8776,1241742,71233,26979,424226,136053,29200,94847,90067
Total_people_complete,2635445,,,,,,,,,,,,,,,,
Total_doses_ordered,5131640,,,,,,,,,,,,,,,,
65 years and older,591410,,,,,,,,,,,,,,,,
55-64 years,304798,,,,,,,,,,,,,,,,
45-54 years,231816,,,,,,,,,,,,,,,,
20-44 years,493197,,,,,,,,,,,,,,,,
Less than 20 years,66622,,,,,,,,,,,,,,,,
65 years and older,8776,,,,,,,,,,,,,,,,
55-64 years,257072,,,,,,,,,,,,,,,,
45-54 years,204984,,,,,,,,,,,,,,,,
20-44 years,451020,,,,,,,,,,,,,,,,
Less than 20 years,59032,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",73681,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",76430,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",118102,,,,,,,,,,,,,,,,
Unknown,417963,,,,,,,,,,,,,,,,
Hispanic or Latino,422743,,,,,,,,,,,,,,,,
Other Race,532328,,,,,,,,,,,,,,,,
"White, non-Hispanic",1505508,,,,,,,,,,,,,,,,
