,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3105814,824922,12721,52059,87556,30568,10703,6726,10283,1157527,61396,31581,432779,132239,25046,108865,83920
Total_people_one_dose,1970398,543679,7591,34773,53034,19952,6648,3838,6387,729653,41882,20412,278158,85439,16306,65091,57555
Total_people_complete,1211279,,,,,,,,,,,,,,,,
Total_doses_ordered,2819270,,,,,,,,,,,,,,,,
65 years and older,508668,,,,,,,,,,,,,,,,
55-64 years,220943,,,,,,,,,,,,,,,,
45-54 years,120037,,,,,,,,,,,,,,,,
20-44 years,246674,,,,,,,,,,,,,,,,
Less than 20 years,12823,,,,,,,,,,,,,,,,
65 years and older,278158,,,,,,,,,,,,,,,,
55-64 years,174707,,,,,,,,,,,,,,,,
45-54 years,88335,,,,,,,,,,,,,,,,
20-44 years,175396,,,,,,,,,,,,,,,,
Less than 20 years,9080,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",36486,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",54318,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",57414,,,,,,,,,,,,,,,,
Hispanic or Latino,192616,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",292150,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",363029,,,,,,,,,,,,,,,,
"White, non-Hispanic",975077,,,,,,,,,,,,,,,,
