Category,Arizona
Total_doses_administered,6825677
Total_people_complete,3346746
Total_doses_ordered,5232260
total_pouluation,7189020
Total_people_one_dose,3748934
Male-65 years and older,507737
Male-55-64 years,288280
Male-45-54 years,245533
Male-20-44 years,568695
Male-Less than 20 years,136948
Female-65 years and older,626751
Female-55-64 years,333687
Female-45-54 years,271228
Female-20-44 years,604080
Female-Less than 20 years,146687
"Black or African American, non-Hispanic",99964
"American Indian or Alaska Native, non-Hispanic",101589
"Asian or Pacific Islander, non-Hispanic",144228
Unknown,407298
Hispanic or Latino,601873
Other Race,640494
"White, non-Hispanic",1753488
