Category,Navajo
Total_doses_administered,62128
Total_people_one_dose,35047
Total_people_complete,30564
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6192
Male-55-64 years,2818
Male-45-54 years,1937
Male-20-44 years,3921
Male-Less than 20 years,2510
Female-65 years and older,6647
Female-55-64 years,3123
Female-45-54 years,1984
Female-20-44 years,3256
Female-Less than 20 years,2627
"Black or African American, non-Hispanic",196
"Asian or Pacific Islander, non-Hispanic",359
Unknown,1877
Hispanic or Latino,1999
Other Race,7599
"American Indian or Alaska Native, non-Hispanic",9579
"White, non-Hispanic",13438
