Category,Mohave
Total_doses_administered,156972
Total_people_one_dose,90377
Total_people_complete,74407
Total_doses_ordered,129340
total_pouluation,216985
Male-65 years and older,21678
Male-55-64 years,8511
Male-45-54 years,4394
Male-20-44 years,7336
Male-Less than 20 years,1313
Female-65 years and older,24182
Female-55-64 years,9898
Female-45-54 years,4652
Female-20-44 years,6828
Female-Less than 20 years,1428
"Black or African American, non-Hispanic",626
"American Indian or Alaska Native, non-Hispanic",930
"Asian or Pacific Islander, non-Hispanic",1304
Hispanic or Latino,6451
Unknown,15243
Other Race,16032
"White, non-Hispanic",49791
