Category,Navajo
Total_doses_administered,77305
Total_people_one_dose,43605
Total_people_complete,36992
Total_doses_ordered,41410
total_pouluation,112825
Male-65 years and older,6958
Male-55-64 years,3609
Male-45-54 years,2549
Male-20-44 years,5376
Male-Less than 20 years,3062
Female-65 years and older,7635
Female-55-64 years,3873
Female-45-54 years,2570
Female-20-44 years,4747
Female-Less than 20 years,3192
"Black or African American, non-Hispanic",225
"Asian or Pacific Islander, non-Hispanic",417
Unknown,2202
Hispanic or Latino,2265
Other Race,8343
"White, non-Hispanic",14601
"American Indian or Alaska Native, non-Hispanic",15552
