Category,Coconino
Total_doses_administered,151555
Total_people_one_dose,83391
Total_people_complete,74749
Total_doses_ordered,97448
total_pouluation,147275
Male-65 years and older,7792
Male-55-64 years,6067
Male-45-54 years,5464
Male-20-44 years,16560
Male-Less than 20 years,3201
Female-65 years and older,8883
Female-55-64 years,6793
Female-45-54 years,5605
Female-20-44 years,19018
Female-Less than 20 years,3925
"Black or African American, non-Hispanic",609
"Asian or Pacific Islander, non-Hispanic",1252
Hispanic or Latino,5903
Other Race,9666
Unknown,17000
"American Indian or Alaska Native, non-Hispanic",17418
"White, non-Hispanic",31543
