Category,Yavapai
Total_doses_administered,191330
Total_people_one_dose,109825
Total_people_complete,91773
Total_doses_ordered,169790
total_pouluation,232386
Male-65 years and older,24080
Male-55-64 years,8573
Male-45-54 years,5003
Male-20-44 years,9771
Male-Less than 20 years,2046
Female-65 years and older,30048
Female-55-64 years,10969
Female-45-54 years,5839
Female-20-44 years,9905
Female-Less than 20 years,2279
"Black or African American, non-Hispanic",590
"American Indian or Alaska Native, non-Hispanic",1094
"Asian or Pacific Islander, non-Hispanic",1434
Hispanic or Latino,6923
Other Race,16820
Unknown,27483
"White, non-Hispanic",55481
