Category,Santa Cruz
Total_doses_administered,70163
Total_people_one_dose,39331
Total_people_complete,35262
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3609
Male-55-64 years,2630
Male-45-54 years,3055
Male-20-44 years,7747
Male-Less than 20 years,2553
Female-65 years and older,4377
Female-55-64 years,2668
Female-45-54 years,2909
Female-20-44 years,7132
Female-Less than 20 years,2582
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",98
Other Race,2038
Unknown,2346
"White, non-Hispanic",4836
Hispanic or Latino,29960
