Category,Gila
Total_doses_administered,53041
Total_people_one_dose,29416
Total_people_complete,25910
Total_doses_ordered,37330
total_pouluation,55159
Male-65 years and older,5909
Male-55-64 years,2656
Male-45-54 years,1635
Male-20-44 years,3222
Male-Less than 20 years,760
Female-65 years and older,6260
Female-55-64 years,2949
Female-45-54 years,1724
Female-20-44 years,3341
Female-Less than 20 years,898
"Black or African American, non-Hispanic",98
"Asian or Pacific Islander, non-Hispanic",260
Hispanic or Latino,1344
Other Race,4878
Unknown,5460
"American Indian or Alaska Native, non-Hispanic",5919
"White, non-Hispanic",11457
