Category,Cochise
Total_doses_administered,121513
Total_people_one_dose,68428
Total_people_complete,59870
Total_doses_ordered,90250
total_pouluation,130808
Male-65 years and older,10765
Male-55-64 years,5196
Male-45-54 years,3814
Male-20-44 years,9807
Male-Less than 20 years,2707
Female-65 years and older,12742
Female-55-64 years,6279
Female-45-54 years,4371
Female-20-44 years,9865
Female-Less than 20 years,2790
"American Indian or Alaska Native, non-Hispanic",322
"Black or African American, non-Hispanic",1280
"Asian or Pacific Islander, non-Hispanic",1314
Unknown,9180
Other Race,10400
Hispanic or Latino,16635
"White, non-Hispanic",29297
