Category,Apache
Total_doses_administered,32992
Total_people_one_dose,18552
Total_people_complete,12139
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1948
Male-55-64 years,1288
Male-45-54 years,1013
Male-20-44 years,2468
Male-Less than 20 years,2494
Female-65 years and older,2053
Female-55-64 years,1415
Female-45-54 years,1008
Female-20-44 years,2268
Female-Less than 20 years,2587
"Asian or Pacific Islander, non-Hispanic",165
"Black or African American, non-Hispanic",286
Unknown,1005
Other Race,1250
Hispanic or Latino,1835
"White, non-Hispanic",3225
"American Indian or Alaska Native, non-Hispanic",10786
