Category,La Paz
Total_doses_administered,17778
Total_people_one_dose,9791
Total_people_complete,8727
Total_doses_ordered,19050
total_pouluation,22085
Male-65 years and older,3144
Male-55-64 years,694
Male-45-54 years,329
Male-20-44 years,541
Male-Less than 20 years,149
Female-65 years and older,3049
Female-55-64 years,858
Female-45-54 years,359
Female-20-44 years,479
Female-Less than 20 years,167
"Black or African American, non-Hispanic",30
"Asian or Pacific Islander, non-Hispanic",74
"American Indian or Alaska Native, non-Hispanic",213
Hispanic or Latino,1038
Other Race,1117
Unknown,2652
"White, non-Hispanic",4667
