Category,Greenlee
Total_doses_administered,7662
Total_people_one_dose,4039
Total_people_complete,3508
total_pouluation,4039
Male-65 years and older,494
Male-55-64 years,370
Male-45-54 years,311
Male-20-44 years,746
Male-Less than 20 years,141
Female-65 years and older,494
Female-55-64 years,314
Female-45-54 years,311
Female-20-44 years,708
Female-Less than 20 years,148
"Black or African American, non-Hispanic",40
"Asian or Pacific Islander, non-Hispanic",40
"American Indian or Alaska Native, non-Hispanic",98
Other Race,109
Unknown,298
"White, non-Hispanic",1648
Hispanic or Latino,1806
