Category,Maricopa
Total_doses_administered,4688322
Total_people_one_dose,2434384
Total_people_complete,2159844
total_pouluation,2434384
Male-65 years and older,271199
Male-55-64 years,179460
Male-45-54 years,172520
Male-20-44 years,406255
Male-Less than 20 years,109509
Female-65 years and older,340387
Female-55-64 years,202928
Female-45-54 years,188152
Female-20-44 years,435814
Female-Less than 20 years,113769
"American Indian or Alaska Native, non-Hispanic",44580
"Black or African American, non-Hispanic",87903
"Asian or Pacific Islander, non-Hispanic",116704
Unknown,182598
Hispanic or Latino,389813
Other Race,446482
"White, non-Hispanic",1166304
